Year,Species,BioPhyReg,Date,DOY,MigrMonth,TempDepart,NAOIndex
1994,Belted Kingfisher,Eleven,16-Apr-94,106,Apr,0.1,3.03
1994,Belted Kingfisher,Eleven,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Eleven,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,4-Apr-94,94,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,7-Apr-94,97,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,8-Apr-94,98,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,9-Apr-94,99,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,11-Apr-94,101,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,11-Apr-94,101,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,12-Apr-94,102,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,12-Apr-94,102,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,19-Apr-94,109,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,21-Apr-94,111,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,25-Apr-94,115,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,17-May-94,137,Apr,0.1,3.03
1994,Belted Kingfisher,Fifteen,29-May-94,149,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,4-Apr-94,94,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,13-Apr-94,103,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,14-Apr-94,104,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,14-Apr-94,104,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,21-Apr-94,111,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,26-Apr-94,116,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,15-May-94,135,Apr,0.1,3.03
1994,Belted Kingfisher,Fourteen,21-May-94,141,Apr,0.1,3.03
1994,Belted Kingfisher,Nine,8-Apr-94,98,Apr,0.1,3.03
1994,Belted Kingfisher,Nine,3-May-94,123,Apr,0.1,3.03
